"split","model","theta","se","ci_lower","ci_upper","sd","effect_minus_sd","effect_plus_sd"
"all","DR-BART",0.0508160511488069,0.021999118702647,0.0146275008829525,0.0870046014146613,0.021999118702647,0.0288169324461599,0.0728151698514539
"all","DR-GLMNET",0.0703086002829299,0.0270749574823944,0.0257702952243912,0.114846905341469,0.0270749574823944,0.0432336428005355,0.0973835577653242
"all","DR-RF",0.0695279219616115,0.0217745510178776,0.0337087855372029,0.10534705838602,0.0217745510178776,0.047753370943734,0.0913024729794891
"test","DR-BART",0.0553270209360772,0.0669757189104701,-0.0548480366716461,0.165502078543801,0.0669757189104701,-0.0116486979743929,0.122302739846547
"test","DR-GLMNET",0.0775240295771646,0.080178192482246,-0.05436909705613,0.209417156210459,0.080178192482246,-0.00265416290508137,0.157702222059411
"test","DR-RF",0.0780954245414701,0.0689342163750715,-0.0353013613955224,0.191492210478463,0.0689342163750715,0.00916120816639868,0.147029640916542
"train","DR-BART",0.0558438250470035,0.0266015821769926,0.0120842223658506,0.0996034277281563,0.0266015821769926,0.0292422428700109,0.0824454072239961
"train","DR-GLMNET",0.0793662568296594,0.0324700674410351,0.0259529958891567,0.132779517770162,0.0324700674410351,0.0468961893886244,0.111836324270695
"train","DR-RF",0.0709788649905567,0.0258746128375089,0.0284151268728545,0.113542603108259,0.0258746128375089,0.0451042521530477,0.0968534778280656
"val","DR-BART",0.104663358108136,0.0657400876722858,-0.00347908611277434,0.212805802329046,0.0657400876722858,0.03892327043585,0.170403445780422
"val","DR-GLMNET",0.190452660084784,0.0849654986548565,0.050684414797545,0.330220905372023,0.0849654986548565,0.105487161429927,0.27541815873964
"val","DR-RF",0.0542640444581172,0.0589135713078447,-0.0426487803432874,0.151176869259522,0.0589135713078447,-0.00464952684972752,0.113177615765962
