"threshold_type","threshold","accuracy","balanced_accuracy","precision","recall","sensitivity","specificity","f1","tp","tn","fp","fn","roc_auc","pr_auc","model","split"
"Youden",0.572253490674788,0.90448343079922,0.911744684760684,0.96260162601626,0.887556221889055,0.887556221889055,0.935933147632312,0.923556942277691,592,336,23,75,0.955740792556369,0.976778312742596,"DR-GLMNET","Train"
"Default0.5",0.5,0.909356725146199,0.907132088551824,0.944272445820433,0.914542728635682,0.914542728635682,0.899721448467967,0.929169840060929,610,323,36,57,0.955740792556369,0.976778312742596,"DR-GLMNET","Train"
"Youden",0.50765611198675,0.931818181818182,0.932567432567433,0.963768115942029,0.93006993006993,0.93006993006993,0.935064935064935,0.946619217081851,133,72,5,10,0.968077377168286,0.959478742322988,"DR-GLMNET","Validation"
"Default0.5",0.5,0.931818181818182,0.932567432567433,0.963768115942029,0.93006993006993,0.93006993006993,0.935064935064935,0.946619217081851,133,72,5,10,0.968077377168286,0.959478742322988,"DR-GLMNET","Validation"
"Youden",0.55089252203393,0.9,0.905094905094905,0.954887218045113,0.888111888111888,0.888111888111888,0.922077922077922,0.920289855072464,127,71,6,16,0.947961129779311,0.975499493106748,"DR-GLMNET","Test"
"Default0.5",0.5,0.9,0.902097902097902,0.948148148148148,0.895104895104895,0.895104895104895,0.909090909090909,0.920863309352518,128,70,7,15,0.947961129779311,0.975499493106748,"DR-GLMNET","Test"
"Youden",0.519989728349455,0.910641200545703,0.912369679006891,0.95364238410596,0.906610703043022,0.906610703043022,0.91812865497076,0.929532006455083,864,471,42,89,0.956485009889768,0.972137534632583,"DR-GLMNET","All"
"Default0.5",0.5,0.911323328785812,0.910194338592196,0.947769314472252,0.91395592864638,0.91395592864638,0.906432748538012,0.930555555555556,871,465,48,82,0.956485009889768,0.972137534632583,"DR-GLMNET","All"
"Youden",0.658706084656085,0.985380116959064,0.988755622188906,1,0.977511244377811,0.977511244377811,1,0.988627748294162,652,359,0,15,0.998630211356717,0.99932697178357,"DR-RF","Train"
"Default0.5",0.5,0.969785575048733,0.962612704789666,0.967647058823529,0.986506746626687,0.986506746626687,0.938718662952646,0.976985894580549,658,337,22,9,0.998630211356717,0.99932697178357,"DR-RF","Train"
"Youden",0.623090211640212,0.995454545454545,0.996503496503496,1,0.993006993006993,0.993006993006993,1,0.996491228070176,142,77,0,1,0.999545908636818,0.999881874881875,"DR-RF","Validation"
"Default0.5",0.5,0.977272727272727,0.97052947052947,0.972602739726027,0.993006993006993,0.993006993006993,0.948051948051948,0.982698961937716,142,73,4,1,0.999545908636818,0.999881874881875,"DR-RF","Validation"
"Youden",0.628701984126984,0.940909090909091,0.93056943056943,0.945205479452055,0.965034965034965,0.965034965034965,0.896103896103896,0.955017301038062,138,69,8,5,0.967487058396148,0.983058489185114,"DR-RF","Test"
"Default0.5",0.5,0.931818181818182,0.917582417582418,0.932432432432432,0.965034965034965,0.965034965034965,0.87012987012987,0.948453608247423,138,67,10,5,0.967487058396148,0.983058489185114,"DR-RF","Test"
"Youden",0.635263492063492,0.980218281036835,0.98073489074207,0.990445859872611,0.979013641133263,0.979013641133263,0.982456140350877,0.984696569920844,933,504,9,20,0.995514319201293,0.997762188923808,"DR-RF","All"
"Default0.5",0.5,0.965211459754434,0.957042396126728,0.963039014373717,0.984260230849948,0.984260230849948,0.929824561403509,0.973533990659056,938,477,36,15,0.995514319201293,0.997762188923808,"DR-RF","All"
"Youden",0.403390489711906,0.946393762183236,0.93240218330946,0.940922190201729,0.979010494752624,0.979010494752624,0.885793871866295,0.959588537839824,653,318,41,14,0.976650950290873,0.987392689652338,"DR-BART","Train"
"Default0.5",0.5,0.941520467836257,0.929297189845189,0.941775836972344,0.970014992503748,0.970014992503748,0.88857938718663,0.955686853766617,647,319,40,20,0.976650950290873,0.987392689652338,"DR-BART","Train"
"Youden",0.495053235960844,0.963636363636364,0.951048951048951,0.953020134228188,0.993006993006993,0.993006993006993,0.909090909090909,0.972602739726027,142,70,7,1,0.984197620561257,0.991914162707715,"DR-BART","Validation"
"Default0.5",0.5,0.963636363636364,0.951048951048951,0.953020134228188,0.993006993006993,0.993006993006993,0.909090909090909,0.972602739726027,142,70,7,1,0.984197620561257,0.991914162707715,"DR-BART","Validation"
"Youden",0.36458294557963,0.936363636363636,0.921078921078921,0.932885906040268,0.972027972027972,0.972027972027972,0.87012987012987,0.952054794520548,139,67,10,4,0.963309417854872,0.975855611811413,"DR-BART","Test"
"Default0.5",0.5,0.931818181818182,0.917582417582418,0.932432432432432,0.965034965034965,0.965034965034965,0.87012987012987,0.948453608247423,138,67,10,5,0.963309417854872,0.975855611811413,"DR-BART","Test"
"Youden",0.38204899842208,0.946793997271487,0.932076606346226,0.939698492462312,0.981112277019937,0.981112277019937,0.883040935672515,0.959958932238193,935,453,60,18,0.975734778242092,0.985957647280791,"DR-BART","All"
"Default0.5",0.5,0.943383356070941,0.930803311181066,0.942073170731707,0.972717733473242,0.972717733473242,0.888888888888889,0.957150232318018,927,456,57,26,0.975734778242092,0.985957647280791,"DR-BART","All"
