"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","neglog10_adjP","direction","deg_class"
"FCER1A",-0.456524582204266,7.14422608754413,-7.2681603693607,6.06527097826993e-13,1.23640548892032e-08,18.861720615566,7.90783907558987,"Down","Downregulated in Low RMST"
"CLIC6",-0.832237649815651,8.26003385622763,-7.05335325223736,2.74876094139071e-12,2.80167458951248e-08,17.4054003678432,7.55258230880258,"Down","Downregulated in Low RMST"
"OMD",-0.334305849177802,6.70309205131919,-6.94489115580807,5.80526659044937e-12,3.94467864821035e-08,16.6854897874408,7.40398837065317,"Down","Downregulated in Low RMST"
"TROAP",0.265064620237811,6.79824383157416,6.81233536686368,1.42728680232439e-11,7.27381036634565e-08,15.8197804135956,7.13823802551436,"Up","Upregulated in Low RMST"
"OGN",-0.389845131328047,6.39015016426622,-6.68642479581443,3.30643706820952e-11,1.02301201911943e-07,15.0119080708883,6.99011926383761,"Down","Downregulated in Low RMST"
"CDCA5",0.361769867482868,8.3809813194015,6.68178931620873,3.40938364733136e-11,1.02301201911943e-07,14.9824348909186,6.99011926383761,"Up","Upregulated in Low RMST"
"NUSAP1",0.303573646171514,8.23849479816465,6.67726364627807,3.51291838794996e-11,1.02301201911943e-07,14.9536783656488,6.99011926383761,"Up","Upregulated in Low RMST"
"UBE2C",0.438305108157271,9.10429997824036,6.51060263777021,1.04377487621103e-10,2.65966885644522e-07,13.9074274571301,6.57517243207983,"Up","Upregulated in Low RMST"
"PKMYT1",0.213106616287518,6.5355215272522,6.40146931092506,2.10123634599285e-10,4.75930032367381e-07,13.2357834451357,6.32245688927583,"Up","Upregulated in Low RMST"
"PRC1",0.308147424766817,8.62747294242933,6.33123272954408,3.27790545334806e-10,6.21309873815795e-07,12.8091776106492,6.2066917445526,"Up","Upregulated in Low RMST"
"KIF20A",0.276940626560912,7.20836688402754,6.31432248003297,3.6459137334649e-10,6.21309873815795e-07,12.7071300501399,6.2066917445526,"Up","Upregulated in Low RMST"
"STAT5A",-0.203322240389782,7.40368764790444,-6.31381963711161,3.65745326749548e-10,6.21309873815795e-07,12.7040995056108,6.2066917445526,"Down","Downregulated in Low RMST"
"RACGAP1",0.220973634645081,7.91237158358609,6.29759866087051,4.04946431502321e-10,6.34987154321139e-07,12.6064606880363,6.19723506032043,"Up","Upregulated in Low RMST"
"PDGFRL",-0.358271421749954,8.65130429274271,-6.2549193225785,5.28754009511268e-10,7.69903605991942e-07,12.3506933980984,6.11356364626438,"Down","Downregulated in Low RMST"
"PTTG1",0.325273237006323,9.03131053383797,6.2075761004414,7.09481051403528e-10,9.42161269761792e-07,12.0688979072491,6.02587475264974,"Up","Upregulated in Low RMST"
"TPX2",0.263826327240511,6.88066257301372,6.20087834318519,7.3949376091188e-10,9.42161269761792e-07,12.0291949533012,6.02587475264974,"Up","Upregulated in Low RMST"
"UHRF1",0.156443073423853,11.1390210164419,6.13000953989049,1.14354740207358e-09,1.32010987565568e-06,11.6115821338314,5.87938992000245,"None","Not significant"
"UBE2S",0.274328452043487,9.25185870996127,6.1268790318876,1.1656599343538e-09,1.32010987565568e-06,11.5932395232115,5.87938992000245,"Up","Upregulated in Low RMST"
"CDC20",0.390099431554443,8.86150560656986,6.01850361013546,2.249903422603e-09,2.4139095405138e-06,10.9637062791246,5.61727900880031,"Up","Upregulated in Low RMST"
"FEN1",0.216952180210289,8.79574193981218,5.95363311776172,3.31829202948562e-09,3.12720065932644e-06,10.5919819449206,5.50484425101089,"Up","Upregulated in Low RMST"
"CENPE",0.19340281244662,6.86043334524666,5.94755440494213,3.44067031172186e-09,3.12720065932644e-06,10.5573452740559,5.50484425101089,"None","Not significant"
"PLK1",0.117928952077459,6.50182578610781,5.94715625773431,3.44883762044763e-09,3.12720065932644e-06,10.5550777924628,5.50484425101089,"None","Not significant"
"LAMA2",-0.229568261628391,6.54630842651521,-5.94332697048018,3.52835983146962e-09,3.12720065932644e-06,10.53327703982,5.50484425101089,"Down","Downregulated in Low RMST"
"RALGAPB",0.120366224918758,6.93035891170014,5.91324582621893,4.21836343125007e-09,3.58297243941803e-06,10.3624840034936,5.44575653245759,"None","Not significant"
"CKAP2L",0.206996359501143,6.62121863378511,5.89998273976002,4.56281960496976e-09,3.72052310589234e-06,10.2874410794231,5.42939599398078,"Up","Upregulated in Low RMST"
"ZCCHC24",-0.22620752296536,8.15763869118418,-5.88484058431176,4.98962588136149e-09,3.91205859967515e-06,10.2019620679012,5.40759464843327,"Down","Downregulated in Low RMST"
"CENPO",0.105110765310479,5.93634723255728,5.87195248939831,5.3833291793155e-09,3.96133655296387e-06,10.1293719181449,5.4021582586091,"None","Not significant"
"NCAPG",0.24817950681587,7.14465512409585,5.87013809982775,5.4411294325724e-09,3.96133655296387e-06,10.1191648040046,5.4021582586091,"Up","Upregulated in Low RMST"
"PTTG3P",0.283001619093012,7.92584639960862,5.79229986237584,8.57927833757759e-09,5.85308091131511e-06,9.684099890121,5.23261547228172,"Up","Upregulated in Low RMST"
"AURKA",0.274629464210087,7.50592170382786,5.79160911986548,8.61380560899942e-09,5.85308091131511e-06,9.68026382737392,5.23261547228172,"Up","Upregulated in Low RMST"
"POLQ",0.196109100982553,6.62695024734526,5.76905398330194,9.81860639006933e-09,6.45652552456656e-06,9.55524239564254,5.1900011277391,"None","Not significant"
"LARP1",0.116902607133808,8.20061491629353,5.76011841982624,1.03399511842823e-08,6.51922288641481e-06,9.50584170386774,5.18580417056507,"None","Not significant"
"CCNB2",0.301709526497364,8.01011655484632,5.75215649376546,1.08271080811629e-08,6.51922288641481e-06,9.46188525621348,5.18580417056507,"Up","Upregulated in Low RMST"
"PCDH18",-0.26382191908799,7.78076438269939,-5.751418671239,1.08733665998579e-08,6.51922288641481e-06,9.45781479472504,5.18580417056507,"Down","Downregulated in Low RMST"
"LPAR6",-0.177287757045177,8.21681385973341,-5.72062277220416,1.29853972597024e-08,7.27340227738633e-06,9.28836193754582,5.13826239180191,"None","Not significant"
"H4C3",0.223317978689059,12.4104075959829,5.71886267614095,1.31174681626162e-08,7.27340227738633e-06,9.27870328867003,5.13826239180191,"Up","Upregulated in Low RMST"
"FST",-0.33220194500855,8.19029848840412,-5.71774960402863,1.3201662215516e-08,7.27340227738633e-06,9.27259669054137,5.13826239180191,"Down","Downregulated in Low RMST"
"KIF4A",0.16943361115385,6.26575580829749,5.68829354618016,1.56308898504955e-08,8.25529883615542e-06,9.11140500090183,5.08326720095428,"None","Not significant"
