"gene","logFC","AveExpr","t","P.Value","adj.P.Val"
"TROAP",0.265064620237811,6.79824383157416,6.81233536686368,1.42728680232439e-11,7.27381036634565e-08
"CDCA5",0.361769867482868,8.3809813194015,6.68178931620873,3.40938364733136e-11,1.02301201911943e-07
"NUSAP1",0.303573646171514,8.23849479816465,6.67726364627807,3.51291838794996e-11,1.02301201911943e-07
"UBE2C",0.438305108157271,9.10429997824036,6.51060263777021,1.04377487621103e-10,2.65966885644522e-07
"PKMYT1",0.213106616287518,6.5355215272522,6.40146931092506,2.10123634599285e-10,4.75930032367381e-07
"PRC1",0.308147424766817,8.62747294242933,6.33123272954408,3.27790545334806e-10,6.21309873815795e-07
"KIF20A",0.276940626560912,7.20836688402754,6.31432248003297,3.6459137334649e-10,6.21309873815795e-07
"RACGAP1",0.220973634645081,7.91237158358609,6.29759866087051,4.04946431502321e-10,6.34987154321139e-07
"PTTG1",0.325273237006323,9.03131053383797,6.2075761004414,7.09481051403528e-10,9.42161269761792e-07
"TPX2",0.263826327240511,6.88066257301372,6.20087834318519,7.3949376091188e-10,9.42161269761792e-07
"FCER1A",-0.456524582204266,7.14422608754413,-7.2681603693607,6.06527097826993e-13,1.23640548892032e-08
"CLIC6",-0.832237649815651,8.26003385622763,-7.05335325223736,2.74876094139071e-12,2.80167458951248e-08
"OMD",-0.334305849177802,6.70309205131919,-6.94489115580807,5.80526659044937e-12,3.94467864821035e-08
"OGN",-0.389845131328047,6.39015016426622,-6.68642479581443,3.30643706820952e-11,1.02301201911943e-07
"STAT5A",-0.203322240389782,7.40368764790444,-6.31381963711161,3.65745326749548e-10,6.21309873815795e-07
"PDGFRL",-0.358271421749954,8.65130429274271,-6.2549193225785,5.28754009511268e-10,7.69903605991942e-07
"LAMA2",-0.229568261628391,6.54630842651521,-5.94332697048018,3.52835983146962e-09,3.12720065932644e-06
"ZCCHC24",-0.22620752296536,8.15763869118418,-5.88484058431176,4.98962588136149e-09,3.91205859967515e-06
"PCDH18",-0.26382191908799,7.78076438269939,-5.751418671239,1.08733665998579e-08,6.51922288641481e-06
"FST",-0.33220194500855,8.19029848840412,-5.71774960402863,1.3201662215516e-08,7.27340227738633e-06
